sequence_no	protein_a	a_id	a_taxid	protein_b	b_id	b_taxid	negative_relation	assay_normalized	assay_reported_original	evidence_text_en	previous_sentence_en	next_sentence_en	pmid	pmcid	article_title	best_evidence_id	pair2_key	claim_id	candidate_id	rule_tier_v2	canonical_pair_label_v2	experimental_object_scope_v2	rule_reasons_v2	rule_tags_v2	model_is_experimental	model_is_direct_binding_assay	positive_conflict_scope	mentions_construct	mentions_isoform	mentions_positive_control	mentions_purified_components	rule_scope_signal_v2	rule_context_signal_v2	selection_score	evidence_semantics	accession_a	accession_b	mapping_status_a	mapping_status_b	pair_mapping_status	reliable_reported_taxon_mapping	manual_verified_negative	direct_assay_negative	sequence_available	len_a	len_b	sequence_source_a	sequence_source_b	pair_tokens	pair_fits_1024	human_human	exact_negatome_pair_overlap	exact_string_positive_overlap	negative_score_id	score
151	F-actin	40444	7227	CP60	41848	7227	no_binding	pull_down	pull-down	Conversely, the MT-binding proteins kinesin heavy chain, centrosomal protein (CP) 190, CP60, p150Glued, and dynein, as well as tubulin, do not bind significantly to the F-actin column, indicating selective binding (Fig.	1989).	1 C, lanes 2 and 3; dynein not shown).	11076973	PMC2169433	Lava Lamp, a Novel Peripheral Golgi Protein, Is Required for Drosophila melanogaster Cellularization	CLAIM:000336052:0-1	PAIR2:GENE:40444|GENE:41848	CLAIM:000336052	e63da5e1ef9f70d4ea8a989de115bd26e2d3e92c	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	103.0	other_direct_binding	P02574	Q24478	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	376	1096	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1475	0	0	0	0	PN6:0151:negative	0.004918
152	alpha-synuclein	20617	10090	HD8	55869	9606	no_binding	pull_down	pull-down	Both HD1 and HD8 show strong pull-down using immobilized protofibrils and essentially no binding to beads loaded with monomeric Httex1Q46, or alpha-synuclein fibrils (Fig.	We tested the binding specificity of HD1 and HD8 using radioactive pull-down experiments with immobilized protofibrils.	1 C), indicating that they are specific for the structural form present in huntingtin protofibrils.	41279516	PMC12633338	Protofibril Binding Peptides Recognize and Inhibit Huntingtin Amyloid Formation in vitro and in vivo	CLAIM:000143957:0-1	PAIR2:GENE:20617|GENE:55869	CLAIM:000143957	12f8b60e72501941ae4f2956de104b51f17d47a7	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	103.0	other_direct_binding	O55042	Q9BY41	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	140	377	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	520	1	0	0	0	PN6:0152:negative	0.00748
153	alpha-synuclein	20617	10090	HD1	5339	9606	no_binding	pull_down	pull-down	Both HD1 and HD8 show strong pull-down using immobilized protofibrils and essentially no binding to beads loaded with monomeric Httex1Q46, or alpha-synuclein fibrils (Fig.	We tested the binding specificity of HD1 and HD8 using radioactive pull-down experiments with immobilized protofibrils.	1 C), indicating that they are specific for the structural form present in huntingtin protofibrils.	41279516	PMC12633338	Protofibril Binding Peptides Recognize and Inhibit Huntingtin Amyloid Formation in vitro and in vivo	CLAIM:000143956:0-1	PAIR2:GENE:20617|GENE:5339	CLAIM:000143956	f1d4d5bf7e3760b485a757663ab9e20acdeb2df7	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	103.0	other_direct_binding	O55042	Q15149	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	140	4684	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	4827	0	0	0	0	PN6:0153:negative	8.4e-05
154	SIRT3	23410	9606	HIF1alpha	3091	9606	no_binding	pull_down	pull-down	SIRT1, but not SIRT3, pulled down HIF1alpha (Figure S4A), suggesting that SIRT3 does not interact with HIF1alpha directly.	To test whether SIRT3 might act through a similar mechanism, we immunoprecipitated SIRT1 or SIRT3 and probed for interactions with HIF1alpha.		21397863	PMC3065720	SIRT3 opposes reprogramming of cancer cell metabolism through HIF1alpha destabilization	CLAIM:000263855:0-1	PAIR2:GENE:23410|GENE:3091	CLAIM:000263855	f9361b47ef48751dab2581691a000dbbc8d37b4b	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	103.0	other_direct_binding	Q9NTG7	Q16665	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	399	826	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1228	0	1	0	0	PN6:0154:negative	0.000711
155	p10	20194	10090	p12	69745	10090	no_binding	pull_down	pull-down	Only low or no binding of p12 and p10 was observed to these protein-Sepharoses.	However, when the disrupted virus particles and p30 were coupled to Sepharose in the presence of Triton X-100, stronger binding of the four proteins was observed.	The results are discussed with respect to the assembly and structure of the virus particle.	7142970		Association of moloney murine leukaemia virus proteins: an assay for hydrophobic protein-protein interactions.	CLAIM:000245211:0-1	PAIR2:GENE:20194|GENE:69745	CLAIM:000245211	b06572bf4a150bec7ede1a9fbaf265b7d8c5503d	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	103.0	other_direct_binding	P08207	Q9CWP8	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	97	107	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	207	1	0	0	0	PN6:0155:negative	0.000289
156	hsp70	15511	10090	hsp56	8991	9606	no_binding	pull_down	pull-down	In this work, we show that highly purified mouse hsp90 binds in a reversible equilibrium to immunopurified rabbit hsp56, but hsp56 does not bind to purified mouse hsp70.	(1993) Biochemistry 32, 3953-3957).	In contrast to the equilibrium binding of hsp90 to hsp56, purified hsp90 binds poorly or not at all to purified hsp70 unless a third factor from reticulocyte lysate is present to permit complex formation.	8157642		Characterization of the protein-protein interactions determining the heat shock protein (hsp90.hsp70.hsp56) heterocomplex.	CLAIM:000071020:0-1	PAIR2:GENE:15511|GENE:8991	CLAIM:000071020	92691e589f59d180b4b239b187146917e3e67d92	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	103.0	other_direct_binding	P17879	Q13228	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	642	472	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1117	0	0	0	0	PN6:0156:negative	0.26388
157	CaM	801	9606	DR5	8795	9606	no_binding	pull_down	pull-down	However, CaM did not bind to DR5 from cell lysates supplemented with EGTA (Fig.	4B).	4B).	29663486	PMC5993614	Calmodulin antagonist enhances DR5-mediated apoptotic signaling in TRA-8 resistant triple negative breast cancer cells	CLAIM:000014172:0-1	PAIR2:GENE:801|GENE:8795	CLAIM:000014172	14d690237ee3e6aad5f5d29e2477a0c51835f6ba	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	103.0	other_direct_binding	P0DP25	O14763	resolved_reviewed_reported_taxon_multiple_candidates	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	149	440	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	592	1	1	0	0	PN6:0157:negative	0.999853
161	TLR4	21898	10090	Gal-8	56048	10090	no_binding	pull_down	pull-down	TLR4 did not bind to Gal-8 beads (Figure 3B).	To determine whether Gal-8 binds to TLR4 or CD14, BMDM lysates were incubated overnight with Gal-8-conjugated agarose beads and bound proteins were examined along with total cell lysates (input) by Western blot using anti-TLR4 and anti-CD-14.	In contrast, CD14 bound to Gal-8 beads (Figure 3B, lane media).	36603009	PMC9898164	Galectin-8 downmodulates TLR4 activation and impairs bacterial clearance in a mouse model of Pseudomonas keratitis	CLAIM:000177240:0-1	PAIR2:GENE:21898|GENE:56048	CLAIM:000177240	2c5f1f80a2ca25b2cf90a0ecd82d7d693136ff91	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	103.0	other_direct_binding	Q9QUK6	Q9JL15	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	835	316	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1154	0	0	0	0	PN6:0161:negative	0.586406
162	10-formyltetrahydrofolate dehydrogenase	10840	9606	BHMT	635	9606	no_binding	pull_down	pull-down	Moreover, our results rise doubts about the validity of several BHMT interaction partners included in this list, as tubulin, 10-formyltetrahydrofolate dehydrogenase (Aldh1l1) and carbamoyl phosphate synthetase 1 show unspecific binding to chitin and chitin-intein columns, and no interaction with chitin-intein-BHMT beads.	However, only seven of these targets have been also identified in our study.	Therefore, among the previously reported BHMT interaction targets only 14-3-3 protein epsilon (Ywhae), tissue-type transglutaminase, HMGB1, and BHMT2 bind to BHMT columns in our study.	29924862	PMC6010280	Identification of hepatic protein-protein interaction targets for betaine homocysteine S-methyltransferase	CLAIM:000060351:0-1	PAIR2:GENE:10840|GENE:635	CLAIM:000060351	82d2e75c2eb0f1eb70761843cdf9af6e8cad2f64	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	103.0	other_direct_binding	O75891	Q93088	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	902	406	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1311	0	1	0	0	PN6:0162:negative	0.000191
164	kinesin heavy chain	36810	7227	F-actin	40444	7227	no_binding	pull_down	pull-down	Conversely, the MT-binding proteins kinesin heavy chain, centrosomal protein (CP) 190, CP60, p150Glued, and dynein, as well as tubulin, do not bind significantly to the F-actin column, indicating selective binding (Fig.	1989).	1 C, lanes 2 and 3; dynein not shown).	11076973	PMC2169433	Lava Lamp, a Novel Peripheral Golgi Protein, Is Required for Drosophila melanogaster Cellularization	CLAIM:000336051:0-1	PAIR2:GENE:36810|GENE:40444	CLAIM:000336051	a427f8aae4068907b32c03c48029b4711b1c9e5f	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	103.0	other_direct_binding	P17210	P02574	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	975	376	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1354	0	0	0	0	PN6:0164:negative	0.927634
168	ERbeta	25149	10116	Rg1	5506	9606	no_binding	in_vitro_binding_unspecified	receptor binding assay	A receptor binding assay found that Rg1 did not bind to the classical nuclear receptors ERalpha and ERbeta.	Rg1 can increase estrogen responsive element luciferase activity and induce estrogen-dependent pS2 gene expression.	The estrogenic activity of Rg1 in the absence of direct binding with ERalpha and ERbeta indicates that Rg1 may activate ER in a ligand-independent manner.	31787867	PMC6853999	Ginsenoside Rg1 Exerts Anti-inflammatory Effects via G Protein-Coupled Estrogen Receptor in Lipopolysaccharide-Induced Microglia Activation	CLAIM:000240039:0-1	PAIR2:GENE:25149|GENE:5506	CLAIM:000240039	41ffe8358783816ac5eb62582f7f90c74ea54698	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	102.0	other_direct_binding	Q62986	Q16821	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	530	1122	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	1655	0	0	0	0	PN6:0168:negative	0.000112
169	CD151	12476	10090	PSG17	26437	10090	no_binding	in_vitro_binding_unspecified	binding assay	PSG17 did not bind to cells transfected with CD53, CD63, CD81, CD82, or CD151, suggesting that PSG17-CD9 binding is a specific interaction.	We then tested whether PSG17 binds to other members of the murine tetraspanin family.	We have identified the first receptor for a murine PSG as well as the first natural ligand for a member of the tetraspanin superfamily.	11805154	PMC2193606	Murine CD9 Is the Receptor for Pregnancy-specific Glycoprotein 17	CLAIM:000154694:0-1	PAIR2:GENE:12476|GENE:26437	CLAIM:000154694	12fdbe6a1c09330179c0690350de177b9aa41018	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	102.0	other_direct_binding	O35566	Q62056	resolved_reviewed_reported_taxon	provisional_unreviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	253	475	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	731	1	0	0	0	PN6:0169:negative	0.04032
170	somatostatin	20604	10090	msl-1	74026	10090	no_binding	in_vitro_binding_unspecified	binding assay	Transient expression in COS-1 cells showed that msl-1 and msl-2 did not bind somatostatin.	Among members of the G protein-coupled receptor superfamily, the sequences of both msl-1 and msl-1 were most closely related to those of the somatostatin receptors (SSTRs), having approximately 35% identity with the sequence of SSTR1.	Rather they bound opioids selectively and with high affinity and had the pharmacological properties of kappa and delta opioid receptors, respectively.	8393575	PMC47007	Cloning and functional comparison of kappa and delta opioid receptors from mouse brain.	CLAIM:000036241:0-1	PAIR2:GENE:20604|GENE:74026	CLAIM:000036241	24a7745623ea6c8b9e980c8c7c29e697944ad515	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	102.0	other_direct_binding	P60041	Q6PDM1	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	116	616	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	735	1	0	0	0	PN6:0170:negative	0.000102
171	CD53	12508	10090	PSG17	26437	10090	no_binding	in_vitro_binding_unspecified	binding assay	PSG17 did not bind to cells transfected with CD53, CD63, CD81, CD82, or CD151, suggesting that PSG17-CD9 binding is a specific interaction.	We then tested whether PSG17 binds to other members of the murine tetraspanin family.	We have identified the first receptor for a murine PSG as well as the first natural ligand for a member of the tetraspanin superfamily.	11805154	PMC2193606	Murine CD9 Is the Receptor for Pregnancy-specific Glycoprotein 17	CLAIM:000154690:0-1	PAIR2:GENE:12508|GENE:26437	CLAIM:000154690	bff00646fba6cf34806e7db311b3afc83b091f21	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	102.0	other_direct_binding	Q61451	Q62056	resolved_reviewed_reported_taxon	provisional_unreviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	219	475	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	697	1	0	0	0	PN6:0171:negative	0.000918
173	CD82	12521	10090	PSG17	26437	10090	no_binding	in_vitro_binding_unspecified	binding assay	PSG17 did not bind to cells transfected with CD53, CD63, CD81, CD82, or CD151, suggesting that PSG17-CD9 binding is a specific interaction.	We then tested whether PSG17 binds to other members of the murine tetraspanin family.	We have identified the first receptor for a murine PSG as well as the first natural ligand for a member of the tetraspanin superfamily.	11805154	PMC2193606	Murine CD9 Is the Receptor for Pregnancy-specific Glycoprotein 17	CLAIM:000154693:0-1	PAIR2:GENE:12521|GENE:26437	CLAIM:000154693	aff1d38dbc2a999028b68374a6862e6d032cad37	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	102.0	other_direct_binding	P40237	Q62056	resolved_reviewed_reported_taxon	provisional_unreviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	266	475	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	744	1	0	0	0	PN6:0173:negative	0.284363
174	CLIP	16149	10090	ITGAM	16409	10090	no_binding	in_vitro_binding_unspecified	tetramer binding assay	Additionally, most of the CLIP:I-Ab tetramer binding cells did not bind to the ITGAM/Xp:I-Ab tetramer and most of the ITGAM/Xp:I-Ab tetramer binding cells did not bind to the CLIP:I-Ab tetramer although a small population of about 20 cells per mouse bound to both tetramers (Fig.	2A and B).	2C-E).	29255075	PMC5886705	Allograft rejection is associated with weak T cell responses to many different graft leukocyte-derived peptides1	CLAIM:000078131:0-1	PAIR2:GENE:16149|GENE:16409	CLAIM:000078131	cd662d9c845e4746cad48d195a1f41af4d1cde83	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	102.0	other_direct_binding	P04441	G5E8F1	resolved_reviewed_reported_taxon	provisional_unreviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	279	1154	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1436	0	0	0	0	PN6:0174:negative	0.00098
176	IL-2	16183	10090	IL-3	16187	10090	no_binding	in_vitro_binding_unspecified	colorimetric binding assay	No binding was observed when biotinylated ligand was incubated with a receptor negative cell line (PC-12) and IL-2 was unable to compete with biotinylated IL-3 binding to 32D cells, further demonstrating specificity.	Binding of both ligands was detectable after incubation with as little as 20 fmol of ligand and could be inhibited with a 10-fold molar excess of nonbiotinylated ligand.	These studies indicate that biotinylated ligands can be used as a nonradioactive method to detect specific, high-affinity cell surface receptors.	1325134		A colorimetric method for detection of specific ligand binding.	CLAIM:000032927:0-1	PAIR2:GENE:16183|GENE:16187	CLAIM:000032927	24a8cb53c4d19296e439b272a19e18fd28de49aa	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	102.0	other_direct_binding	P04351	P01586	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	169	166	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	338	1	0	0	0	PN6:0176:negative	0.000761
177	CD81	12520	10090	PSG17	26437	10090	no_binding	in_vitro_binding_unspecified	binding assay	PSG17 did not bind to cells transfected with CD53, CD63, CD81, CD82, or CD151, suggesting that PSG17-CD9 binding is a specific interaction.	We then tested whether PSG17 binds to other members of the murine tetraspanin family.	We have identified the first receptor for a murine PSG as well as the first natural ligand for a member of the tetraspanin superfamily.	11805154	PMC2193606	Murine CD9 Is the Receptor for Pregnancy-specific Glycoprotein 17	CLAIM:000154692:0-1	PAIR2:GENE:12520|GENE:26437	CLAIM:000154692	a322a71f5c4df7ebc0884c6595e7e3d151098f5d	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	102.0	other_direct_binding	P35762	Q62056	resolved_reviewed_reported_taxon	provisional_unreviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	236	475	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	714	1	0	0	0	PN6:0177:negative	0.060295
179	ERalpha	24890	10116	Rg1	5506	9606	no_binding	in_vitro_binding_unspecified	receptor binding assay	A receptor binding assay found that Rg1 did not bind to the classical nuclear receptors ERalpha and ERbeta.	Rg1 can increase estrogen responsive element luciferase activity and induce estrogen-dependent pS2 gene expression.	The estrogenic activity of Rg1 in the absence of direct binding with ERalpha and ERbeta indicates that Rg1 may activate ER in a ligand-independent manner.	31787867	PMC6853999	Ginsenoside Rg1 Exerts Anti-inflammatory Effects via G Protein-Coupled Estrogen Receptor in Lipopolysaccharide-Induced Microglia Activation	CLAIM:000240038:0-1	PAIR2:GENE:24890|GENE:5506	CLAIM:000240038	4e0b220bbe142a77e5c838dd3f0eff779d6e1d96	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	102.0	other_direct_binding	P06211	Q16821	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	600	1122	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	1725	0	0	0	0	PN6:0179:negative	0.001109
187	V2R	12000	10090	V1aR	552	9606	no_binding	in_vitro_binding_unspecified	binding assay	Application of this scrambled tracer at 100 nM did not induce hOTR-GFP internalization or accumulate in the cell cytoplasm (Figure S7a4 ), nor could it displace [3H]-OT or [3H]-VP binding at 10 microM on OTR, V1aR, V1bR, and V2R (Table 1, Figure S7a5 ), indicating that the linker moiety alone did not interact with the receptors.	Furthermore, we generated a scrambled cyclic tracer dCINYQCP(Orn)G-[d-PEG5-kepsilon-Cy3s]8 (SCR, Table 1) based on tracer (11) as an additional control.		41001975	PMC12603982	Fluorescent Peptide Tracers for Simultaneous Oxytocin Receptor Activation and Visualization	CLAIM:000072940:1-2	PAIR2:GENE:12000|GENE:552	CLAIM:000072940	a02271b86d6a62137d931725ba9189bff77c34c3	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	102.0	other_direct_binding	O88721	P37288	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	1	1	371	418	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	792	1	0	0	0	PN6:0187:negative	0.99967
190	IGFBP3	3486	9606	calmodulin	801	9606	no_binding	in_vitro_binding_unspecified	binding assay	Labelled calmodulin did not bind to IGFBP3-TM219 nanodisc complex (S4 Fig).	We tested the interaction between the purified calmodulin and the TM219 nanodisc in presence of the IGFBP3.	Since calmodulin contains 4 EF motifs that binds to 4 molecules of calcium in order to change its conformation, these experiments were repeated in the presence of 1 mM CaCl2, and in absence of IGFBP3.	31220095	PMC6586287	Blocking transmembrane219 protein signaling inhibits autophagy and restores normal cell death	CLAIM:000030988:0-1	PAIR2:GENE:3486|GENE:801	CLAIM:000030988	3fc37e8c2c67d85a91294ae8ebf0c9994d7b1014	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	102.0	other_direct_binding	P17936	P0DP25	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon_multiple_candidates	both_in_reported_taxon_mapped	1	1	1	1	291	149	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	443	1	1	0	0	PN6:0190:negative	0.040016
