sequence_no	protein_a	a_id	a_taxid	protein_b	b_id	b_taxid	negative_relation	assay_normalized	assay_reported_original	evidence_text_en	previous_sentence_en	next_sentence_en	pmid	pmcid	article_title	best_evidence_id	pair2_key	claim_id	candidate_id	rule_tier_v2	canonical_pair_label_v2	experimental_object_scope_v2	rule_reasons_v2	rule_tags_v2	model_is_experimental	model_is_direct_binding_assay	positive_conflict_scope	mentions_construct	mentions_isoform	mentions_positive_control	mentions_purified_components	rule_scope_signal_v2	rule_context_signal_v2	selection_score	evidence_semantics	accession_a	accession_b	mapping_status_a	mapping_status_b	pair_mapping_status	reliable_reported_taxon_mapping	manual_verified_negative	direct_assay_negative	sequence_available	len_a	len_b	sequence_source_a	sequence_source_b	pair_tokens	pair_fits_1024	human_human	exact_negatome_pair_overlap	exact_string_positive_overlap	negative_score_id	score
250	eEF2	29565	10116	Sirt1	309757	10116	no_binding	coIP	co-immunoprecipitation	The reverse experiment, immunoprecipitating eEF2K or eEF2 and immunoblotting with anti-SIRT1 antibodies, confirmed that SIRT1 was not associated with eEF2K or eEF2 in H9c2 cells.	However, neither eEF2K nor eEF2 was found in SIRT1 immunoprecipitates (Figure 7C).		32059483	PMC7072417	SIRT1 Protects the Heart from ER Stress-Induced Injury by Promoting eEF2K/eEF2-Dependent Autophagy	CLAIM:000087063:0-1	PAIR2:GENE:29565|GENE:309757	CLAIM:000087063	3f3905cfda26a6b434ad04f9750606df8e203225	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0	association_negative	P05197	A0A0G2JZ79	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	858	741	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1602	0	0	0	0	PN6:0250:negative	0.999489
251	GPX4	2879	9606	p53	7157	9606	no_binding	coIP	Co-IP	In addition, we demonstrated that GPX4 did not interact with p53 or p21 protein in HCT116 and Hela cells using Co-IP methods (Fig.	S2C, D, Supplementary Materials).	4H).	35915092	PMC9343379	Knockdown of RRM1 in tumor cells promotes radio-/chemotherapy induced ferroptosis by regulating p53 ubiquitination and p21-GPX4 signaling axis	CLAIM:000285338:0-1	PAIR2:GENE:2879|GENE:7157	CLAIM:000285338	8e2173928ce1a1a3e2ea71e2818bf18ced4b11ea	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0	association_negative	P36969	P04637	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	197	393	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	593	1	1	0	0	PN6:0251:negative	0.031548
254	SUFU	51684	9606	SPOP	8405	9606	no_binding	coIP	Coimmunoprecipitation	Coimmunoprecipitation (Co-IP) data showed that SPOP failed to bind to SUFU, but it bound to GLI3, which had been proven to be a substrate of SPOP (Fig.	To investigate whether SPOP forms a complex with SUFU, we co-expressed SPOP and SUFU in 293T cells.	3A).	34021128	PMC8140158	SPOP-PTEN-SUFU axis promotes progression of clear cell renal cell carcinoma via activating SHH and WNT pathway	CLAIM:000046469:0-1	PAIR2:GENE:51684|GENE:8405	CLAIM:000046469	4342db30e208d83dbe07dfaac0d14b3df49e52a6	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0	association_negative	Q9UMX1	O43791	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	484	374	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	861	1	1	0	0	PN6:0254:negative	0.012576
255	Daple	440193	9606	ULK1	8408	9606	no_binding	coIP	co-IP	Moreover, we found that Daple did not interact with other proteins involved in autophagy initiation and elongation, including members of the beclin-1 complex or the ULK1 complex, ATG5-12, or ATG7 (Supplementary Fig.	7g).	9c).	32382014	PMC7206012	TRIM11 facilitates chemoresistance in nasopharyngeal carcinoma by activating the beta-catenin/ABCC9 axis via p62-selective autophagic degradation of Daple	CLAIM:000150685:0-1	PAIR2:GENE:440193|GENE:8408	CLAIM:000150685	acef692f9afeedb9910d2c78ed791cd3bfef6f47	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0	association_negative	Q9P219	O75385	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	2028	1050	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	3081	0	1	0	0	PN6:0255:negative	0.724549
256	Daple	440193	9606	beclin-1	8678	9606	no_binding	coIP	co-IP	Moreover, we found that Daple did not interact with other proteins involved in autophagy initiation and elongation, including members of the beclin-1 complex or the ULK1 complex, ATG5-12, or ATG7 (Supplementary Fig.	7g).	9c).	32382014	PMC7206012	TRIM11 facilitates chemoresistance in nasopharyngeal carcinoma by activating the beta-catenin/ABCC9 axis via p62-selective autophagic degradation of Daple	CLAIM:000150684:0-1	PAIR2:GENE:440193|GENE:8678	CLAIM:000150684	7e86d77cdd79bf5c00b6a2c2fd9fde6a36d30a92	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0	association_negative	Q9P219	Q14457	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	2028	450	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	2481	0	1	0	0	PN6:0256:negative	0.997759
257	TRIM18	4281	9606	SOCS1	8651	9606	no_binding	coIP	co-immunoprecipitation	Afterward, co-IP assay of TRIM18 and SOCS1 as well as TRIM18 and PTP1B was performed, revealing that TRIM18 did not interact with SOCS1 (Figure 5B) but interacted with PTP1B (Figure 5C).	We found that TRIM18 overexpression significantly decreased the expression of SOCS1 and PTP1B, but it did not affect the expression of SHP-1 or PIAS1 (Figure 5A).	Quantitative real-time PCR results suggested that the expression level of PTP1B mRNA was not affected by either TRIM18 silencing or overexpression (Figure 5D).	34434118	PMC8381599	TRIM18-Regulated STAT3 Signaling Pathway via PTP1B Promotes Renal Epithelial-Mesenchymal Transition, Inflammation, and Fibrosis in Diabetic Kidney Disease	CLAIM:000012502:0-1	PAIR2:GENE:4281|GENE:8651	CLAIM:000012502	8b10b9d68dc5433ba515e43681c744a8a7f45a9a	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	101.0	association_negative	O15344	O15524	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	667	211	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	881	1	1	0	0	PN6:0257:negative	0.004631
259	AHR	11622	10090	SIM2	20465	10090	no_interaction	Y2H	yeast two-hybrid	SIM1 and SIM2 do not form homodimers, and they do not interact with AHR.	Both the helix-loop-helix and the PAS regions of SIM1 and of ARNT are required for efficient heterodimerization.	We also failed to detect homodimerization of ARNT.	9020169		Two murine homologs of the Drosophila single-minded protein that interact with the mouse aryl hydrocarbon receptor nuclear translocator protein.	CLAIM:000279317:0-1	PAIR2:GENE:11622|GENE:20465	CLAIM:000279317	1b14a31c03dbeca75ddbd99698e6db2e6a327c1e	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	100.0	association_negative	P30561	Q61079	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	848	657	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1508	0	0	0	0	PN6:0259:negative	0.998736
261	MDM2	4193	9606	NME1	4830	9606	no_interaction	Y2H	yeast two-hybrid	The MDM2-NME2 interaction is highly specific, as NME1 (87.5% amino acid identity) does not interact with MDM2 in yeast.	We identified the non-metastatic cells 2, protein; NME2 (NDPK-B, NM23-B/-H2), a nucleoside diphosphate kinase, as an MDM2-interacting protein using both a proteomic-based strategy [affinity chromatography and tandem mass spectrometry [MS/MS] from HEK293 cells] and a yeast two-hybrid screen of a renal carcinoma cell-derived complementary DNA library.	Specific NME proteins display well-documented cell motility and metastasis-suppressing activity.	21504894		MDM2 interacts with NME2 (non-metastatic cells 2, protein) and suppresses the ability of NME2 to negatively regulate cell motility.	CLAIM:000243587:0-1	PAIR2:GENE:4193|GENE:4830	CLAIM:000243587	29fea1b5e8a33ceb05e89439ec86aa7561cc87e4	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	100.0	association_negative	Q00987	P15531	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	491	152	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	646	1	1	1	0	PN6:0261:negative	0.995197
263	p22phox	1535	9606	EROS	79415	9606	no_interaction	Y2H	yeast two hybrid	We have therefore confirmed the direct interaction between EROS and gp91phox by yeast two hybrid, added important negative findings (no interaction with p22phox or NOX5) and new positive data (interactions with NOX4 and NOX3).	This approach also demonstrated an interaction between EROS and gp91phox and also showed that EROS could bind NOX3 and NOX4 though not NOX5 or p22phox.		36421765	PMC9767466	EROS is a selective chaperone regulating the phagocyte NADPH oxidase and purinergic signalling	CLAIM:000165938:0-1	PAIR2:GENE:1535|GENE:79415	CLAIM:000165938	1ffc6521645ed3544252fa1d2cf762bd073a6164	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	100.0	association_negative	P13498	Q9BQA9	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	195	187	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	385	1	1	0	0	PN6:0263:negative	0.01177
265	AGO1	36544	7227	Bam	43038	7227	no_interaction	Y2H	Yeast two-hybrid and coimmunoprecipitation	The binary complexes show direct and robust interaction of Brat-Bam, Brat-AGO 1, and no interaction of Bam and AGO1 proteins in Yeast and coimmunoprecipitation assay in S2 cells	3.1.		33907499	PMC8068763	Negative regulation of diminutive cancer regulator through differentiation and microRNA pathway components in Drosophila cells	CLAIM:000123052:0-1	PAIR2:GENE:36544|GENE:43038	CLAIM:000123052	13b62fc466ad28379d9643f1adf61e2c0a535525	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	100.0	association_negative	Q32KD4	P22745	provisional_unreviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	984	442	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1429	0	0	0	0	PN6:0265:negative	0.000323
273	VIP1	840957	3702	ASK1	843928	3702	no_interaction	BiFC	BiFC	Figure 3A shows that, in the multi-color bridge-BiFC assay, VIP1 did not interact directly with ASK1.	To better understand the relationship between VIP1 and the SCFVBF complex, we assayed for interactions between VIP1, VBF and ASK1.	Coexpression of VBF resulted in formation of VBF-ASK1 complexes detected as the cCFP/nVenus BiFC signal, indicating that VBF indeed represents a component of the SCFVBF complex.	20227663	PMC3427693	Agrobacterium induces expression of a host F-box protein required for tumorigenicity	CLAIM:000215305:0-1	PAIR2:GENE:840957|GENE:843928	CLAIM:000215305	8dae7e42b3b88c20f1b08da5646780e5e57fdf1f	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	99.0	association_negative	Q9MA75	Q39255	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	341	160	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	504	1	0	0	0	PN6:0273:negative	0.897106
277	GAPDH	14433	10090	Klotho	9365	9606	no_interaction	coIP	co-immunoprecipitation	A, B Co-IP analysis revealed an interaction between ABI3BP and Klotho, but with no interaction observed between ABI3BP and GAPDH or Klotho and GAPDH.	ABI3BP promotes cell senescence by regulating Klotho to induce ferroptosis.	C Significantly increased Fe2+ content in HK-2 cells following the detection of KD-Klotho using a ferrous ion fluorescence probe (n = 3).	38812032	PMC11134664	ABI3BP promotes renal aging through Klotho-mediated ferroptosis	CLAIM:000037287:0-1	PAIR2:GENE:14433|GENE:9365	CLAIM:000037287	f5666537b2fdd660607da9ebc05ea32b2c9571d8	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	99.0	association_negative	P16858	Q9UEF7	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	333	1012	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1348	0	0	0	0	PN6:0277:negative	0.845891
279	GAPDH	14433	10090	YAP	22601	10090	no_interaction	coIP	co-immunoprecipitation	In contrast, no interaction between YAP and GAPDH was observed, while none of the proteins were detectable in IgG control IP.	As shown in Figure 3B, YAP was potently enriched in YAP IP, and the interactions between YAP and CREB as well as p-CREB were observed.	Notably, we did not observe any difference in YAP binding between total CREB and p-CREB, suggesting that YAP binds both to phosphorylated and unphosphorylated version of CREB.	28857442	PMC5742726	cAMP response element-binding protein and Yes-associated protein form a feedback loop that promotes neurite outgrowth	CLAIM:000183873:0-1	PAIR2:GENE:14433|GENE:22601	CLAIM:000183873	14a74ce669fdf044626347be3b533ab6b94e1e8e	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	99.0	association_negative	P16858	P46938	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	333	488	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	824	1	0	0	0	PN6:0279:negative	0.85443
280	cGAS	214763	10090	PRMT3	71974	10090	no_interaction	coIP	Co-IP	We also performed Co-IP and found that endogenous PRMT3 did not interact with RIG-I, MDA5, and cGAS (Supplementary Fig.	However, RIG-I, MDA5, and cGAS were not identified in our IP-LC/MS data.	13).	39256398	PMC11387718	Targeting PRMT3 impairs methylation and oligomerization of HSP60 to boost anti-tumor immunity by activating cGAS/STING signaling	CLAIM:000003682:0-1	PAIR2:GENE:214763|GENE:71974	CLAIM:000003682	b55100c23fb18c120edc4e60acb5d35f3a1a0787	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	99.0	association_negative	Q8C6L5	Q922H1	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	507	528	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1038	0	0	0	0	PN6:0280:negative	0.00013
281	EGFR	1956	9606	ABCB1	5243	9606	no_interaction	coIP	co-immunoprecipitation	The co-immunoprecipitation assay showed that there is no interaction between EGFR and ABCB1 in the presence or absence of cetuximab.	Whether EGFR interacts with ABCB1 and induce its endocytosis in the presence of cetuximab?	On the other hand, we did not observed ABCB1 downregulation by Flow cytometry examination (Figure 5B, 5C).	26506420	PMC4747373	Cetuximab enhanced the efficacy of chemotherapeutic agent in ABCB1/P-glycoprotein-overexpressing cancer cells	CLAIM:000202938:0-1	PAIR2:GENE:1956|GENE:5243	CLAIM:000202938	2cb3f60b419bb2d512f1f70ad1a9589fcbb33581	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	99.0	association_negative	P00533	P08183	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	1210	1280	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	2493	0	1	0	0	PN6:0281:negative	0.410644
282	PLK4	10733	9606	KIFC1	3833	9606	no_interaction	coIP	Co-IP	To investigate the potential mechanism of KIFC1 regulating PLK4 degradation, a Co-IP assay was conducted, and results showed that KIFC1 did not interact with PLK4 directly (Fig.		S1F).	39349439	PMC11442630	KIFC1 depends on TRIM37-mediated ubiquitination of PLK4 to promote centrosome amplification in endometrial cancer	CLAIM:000156142:0-1	PAIR2:GENE:10733|GENE:3833	CLAIM:000156142	19b286d0f3de4ba89296cb1860885bb921b9c2a8	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	99.0	association_negative	O00444	Q9BW19	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	970	673	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1646	0	1	0	0	PN6:0282:negative	0.002532
285	Notch1	18128	10090	DNER	227325	10090	no_interaction	coIP	co-immunoprecipitation	Meanwhile, we performed Co-IP experiments and the results showed no interaction between DNER and Notch1 (Figure 6D).	DNER can neither regulate the expression of Notch1 nor its downstream target proteins such as HES1 and HEY1 (Figure 3B,C).	These findings indicate that the effect of DNER on hepatic insulin signaling is independent of Notch1.	38553003	PMC10999696	Tyrosine-phosphorylated DNER sensitizes insulin signaling in hepatic gluconeogenesis by inducing proteasomal degradation of TRB3	CLAIM:000005646:0-1	PAIR2:GENE:18128|GENE:227325	CLAIM:000005646	b36486efa61d5599652ff62440eecb155bc5224a	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	99.0	association_negative	Q01705	Q8JZM4	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	2531	737	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	3271	0	0	0	0	PN6:0285:negative	0.807061
286	fibrillarin	2091	9606	MTA1	9112	9606	no_interaction	coIP	Co-IP	Immunofluorescent colocalization analyses showed that MTA1 localizes to the fibrillarin-deficient regions of the nucleolus, and Co-IP experiments indicated that there was no interaction between MTA1 and fibrillarin; further, fibrillarin was not identified in the MTA1 interactome.	MTA1 interacts with two major resident nucleolar proteins, nucleolin and nucleophosmin.	Loss- and gain-of-function studies indicated that MTA1 promotes pre-rRNA transcription in cancer cells.	32786109		Cancer metastasis-associated protein 1 localizes to the nucleolus and regulates pre-rRNA synthesis in cancer cells.	CLAIM:000308677:0-1	PAIR2:GENE:2091|GENE:9112	CLAIM:000308677	8aab688d83c0b93a7df08b55e0e4580421cb0318	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	99.0	association_negative	P22087	Q13330	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	321	715	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1039	0	1	0	0	PN6:0286:negative	0.071026
289	Ago2	239528	10090	hnRNP E2	5094	9606	no_interaction	coIP	co-immunoprecipitation	Anti-hnRNP E2 and anti-Dicer (Figures 3A and 3B) coimmunoprecipitation (coIP) experiments clearly show that hnRNP E2 did not interact with Dicer, TRBP2, or Ago2.	To assess whether the hnRNP E2:miR-328 interaction occurs in the presence of major components of the RISC loading complex, we evaluated whether hnRNP E2 is in complex with Dicer, Ago2, or TRBP2.	Likewise, hnRNP E2 or Dicer immunodepletion did not alter levels of RISC components (Ago2 and TRBP2) or hnRNP E2, respectively (Figures 3A and 3B).	20211135	PMC2924756	miR-328 Functions as an RNA Decoy to Modulate hnRNP E2 Regulation of mRNA Translation in Leukemic Blasts	CLAIM:000337732:0-1	PAIR2:GENE:239528|GENE:5094	CLAIM:000337732	969d58e1413e8aefdb7faa083c24e126bec9a7b7	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	99.0	association_negative	Q8CJG0	Q15366	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	860	365	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1228	0	0	0	0	PN6:0289:negative	0.999271
290	PTPN21	11099	9606	GADD45A	1647	9606	no_interaction	coIP	Co-IP	However, unexpectedly, the Co-IP experimental results showed that there was no interaction between GADD45A and PTPN21 proteins (Fig 7C).	Additionally, Co-IP experiments indicated that an increased amount of interaction between Cdk1 and Cyclin B1 could be observed due to elevated Cdk1 expression resulting from PTPN21 overexpression (Fig 7B), which suggests that PTPN21 may accelerate the G2/M phase transition, as corroborated by earlier experiments.		40305474	PMC12043166	PTPN21 inhibits cell apoptosis of acute lymphoblastic leukemia induced by chemotherapeutic agents via GADD45A and JNK signaling pathway	CLAIM:000000050:0-1	PAIR2:GENE:11099|GENE:1647	CLAIM:000000050	02394cbc62ea304d4903dfbcc51bb62003a07dd3	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	99.0	association_negative	Q16825	P24522	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	1174	165	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	1342	0	1	0	0	PN6:0290:negative	0.000111
294	POT1a	101185	10090	CST	12854	10090	no_interaction	coIP	co-immunoprecipitation	In contrast, co-IP experiments revealed no interaction of CST with TRF1, TRF2, Rap1, TIN2, and POT1a (Fig.	S5A-C).	S5A-C).	22748632	PMC3392515	Telomeric 3' overhangs derive from resection by Exo1 and Apollo and fill-in by POT1b-associated CST	CLAIM:000164428:0-1	PAIR2:GENE:101185|GENE:12854	CLAIM:000164428	8b8616b7d725021b0ca9fff6773358afc885bebb	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	99.0	association_negative	Q91WC1	P56469	resolved_reviewed_reported_taxon	resolved_reviewed_reported_taxon	both_in_reported_taxon_mapped	1	1	0	1	640	109	/data/chs/12.codebuddy/bridge/data/uniprot_sprot.fasta.gz	/data/chs/09.project_chs/05.protnegdb_project/data/interim/protnegdb_main_negative_partners_v1/partner_similarity_uniprot_sequences_v1.tsv	752	1	0	0	0	PN6:0294:negative	0.000116
